NAME,ADDRESS,"SPRAY UNIT 1","SPRAY UNIT 2","SPRAY UNIT 3","SPRAY UNIT 4","SPRAY UNIT 5","SPRAY UNIT 6"
"AMAROK ESTATE","Use Cherubino service entrance 3470 Caves Road, drive through to Amarok","SHI 1, 6, 7","MER 2","CHE 3","SAB 4","SEM 5","CAS 8 & 9"
BROOKWOOD,"430 Treeton Rd, Treeton WA 6284",ALL,,,,,
BURNSIDE,"5839 Caves Road, Burnside","CHA (3ha)","PIN (0.75ha)","New Plantings",,,
ROBINSONS,"140 Summerville Crescent, Yallingup",ALL,,,,,
"CAPE FALLS","3540 Caves Road, Wilyabrup","CHA 11 & 12","Reds 17 & 18",,,,
"COLINS (BOSLEY)","54 Black Butt Dr Yallingup Siding",ALL,,,,,
"CRANE (Murray)","944 Boallia Road - take driveway in and then turn right on the track towards vineyard after going through the first paddock",ALL,,,,,
"CHAPMAN CREEK / YELVERTON VALLEY ","703 Yelverton Road, Yelverton / 593 Yelverton Road,Yelverton ","SEM 14","MAL 12","CAF 1","CHR 9","CAS 10",
"CHAPMAN GROVE (RJ Fraser)","162 Brooks Road, Rosa Glen - go in gate 500m north along Brooks Road",ALL,,,,,
"CROOKED BROOK","566 Crooked Brook Road,",ALL,,,,,
"DI LATTE (Wilyabrup Investments)","4259 Caves Road, Wilyabrup","CHA grafts",CAS,,,,
"HACKERSLEY ",,ALL,,,,,
HANNAFORD,"75 Johnson Road - HEAD DOWN TRACK AND TAKE THE DRIVEWAY ON THE RIGHT",ALL,,,,,
KAARDS,"245 Quininup Road, Wilyabrup","CAS 1","CHA 2","CAS 3",,,
MAIRS,"1348 Vasse Yallingup Siding Road, Yallingup",ALL,,,,,
"MAGGIES (Vintage Unit Trust)","149 Wildberry Road, Wilyabrup","SAB 1","SHI 2","CHR 2",,,
"MOSES ROCK","181 Moses Rock Road, Wilyabrup",ALL,,,,,
"OSMINGTON - (Wood Sea Farm)","1700 Osmington Road - vineyard ~100m futher along from house on left side",ALL,,,,,
"PECCAVI (Krek Mueller)","1121 Wildwood Road, Yallingup",ALL,,,,,
PAGANIN,"837 Commonage Road, Yallingup",ALL,,,,,
"ROJE ESTATE - Firetail","21 Bessel Road, Rosa Glen",ALL,,,,,
"ROSA PARK","132 Blain Road, Rosa Glen",ALL,,,,,
"STELLAR RIDGE","118 Clews Road, Cowaramup",ALL,,,,,
"THOMPSON ESTATE - WILYABRUP","299 Tom Culity Drive",ALL,,,,,
"THOMPSON ESTATE - RICKETT RD","80 Rickett Road, Cowaramup",ALL,,,,,
"THOMPSON ESTATE - DONALDSON RD","Lot 103 Donaldson Road, Cowaramup - use gate at the end of Rickett Road",ALL,,,,,
"VICTORY POINT","92 Holben Road, Cowaramup",ALL,,,,,
"WE'RE WINES","Lot 210 Wildberry Road, enter off Johnson Road, Wilyabrup",ALL,,,,,
"WAGTAIL ESTATE - Stone","600 Puzey Road, Wilyabrup",ALL,,,,,
Woodlands-Home,"3948 Caves Rd, WilyabrupÂ ",ALL,,,,,
Woodlands-Puzey,"790 Puzey Road, Wilyabrup",ALL,,,,,
WOODMAN,"101 Palandri Road, Burnside",ALL,,,,,
WRIGHTS,"19 Tassel Road, Cowaramup",ALL,,,,,
